file,start_sec
6230.220917120000.npz,204.0
6230.220917120000.npz,201.0
6230.220917080000.npz,27.0
6230.220917120000.npz,216.0
6230.220917120000.npz,198.0
6230.220915010000.npz,12.0
6230.220917120000.npz,219.0
6230.220917120000.npz,222.0
6230.220917120000.npz,231.0
6230.220917074000.npz,198.0
6230.220917120000.npz,207.0
6230.220915010000.npz,183.0
6230.220917120000.npz,111.0
6230.220917120000.npz,147.0
6230.220915010000.npz,27.0
6230.220917120000.npz,66.0
6230.220915010000.npz,219.0
6230.220917120000.npz,225.0
6230.220917120000.npz,237.0
6230.220917120000.npz,240.0
6230.220915010000.npz,126.0
6230.220917120000.npz,75.0
6230.220917120000.npz,144.0
6230.220917080000.npz,24.0
6230.220917074000.npz,33.0
6230.220917120000.npz,213.0
6230.220915010000.npz,180.0
6230.220917072000.npz,39.0
6230.220915010000.npz,72.0
6230.220917120000.npz,0.0
6230.220915010000.npz,69.0
6230.220917074000.npz,201.0
6230.220917142000.npz,81.0
6230.220915010000.npz,24.0
6230.220917074000.npz,105.0
6230.220915010000.npz,15.0
6230.220917074000.npz,66.0
6230.220917120000.npz,129.0
6230.220917120000.npz,57.0
6230.220915010000.npz,57.0
6230.220917120000.npz,135.0
6230.220917120000.npz,210.0
6230.220915010000.npz,9.0
6230.220915010000.npz,66.0
6230.220917120000.npz,72.0
6230.220917120000.npz,3.0
6230.220917074000.npz,63.0
6230.220917144000.npz,153.0
6230.220917144000.npz,69.0
6230.220917074000.npz,69.0
6230.220915010000.npz,177.0
6230.220917120000.npz,132.0
6230.220917074000.npz,186.0
6230.220917120000.npz,60.0
6230.220917074000.npz,72.0
6230.220917074000.npz,24.0
6230.220917120000.npz,78.0
6230.220915010000.npz,54.0
6230.220917144000.npz,72.0
6230.220915010000.npz,108.0
6230.220917120000.npz,174.0
6230.220915010000.npz,6.0
6230.220915010000.npz,174.0
6230.220917120000.npz,243.0
6230.220915010000.npz,123.0
6230.220917074000.npz,39.0
6230.220915010000.npz,45.0
6230.220917120000.npz,234.0
6230.220917120000.npz,69.0
6230.220917120000.npz,63.0
6230.220917120000.npz,246.0
6230.220915010000.npz,48.0
6230.220917074000.npz,147.0
6230.220917144000.npz,141.0
6230.220917074000.npz,15.0
6230.220917074000.npz,144.0
6230.220915014000.npz,57.0
6230.220917074000.npz,102.0
6230.220917120000.npz,123.0
6230.220917120000.npz,138.0
6230.220915010000.npz,153.0
6230.220915010000.npz,105.0
6230.220915010000.npz,90.0
6230.220915010000.npz,60.0
6230.220917074000.npz,75.0
6230.220917120000.npz,141.0
6230.220915010000.npz,222.0
6230.220917144000.npz,63.0
6230.220917120000.npz,39.0
6230.220915010000.npz,51.0
6230.220915010000.npz,150.0
6230.220917074000.npz,60.0
6230.220917120000.npz,15.0
6230.220917144000.npz,66.0
6230.220915014000.npz,54.0
6230.220917120000.npz,90.0
6230.220917072000.npz,252.0
6230.220917120000.npz,6.0
6230.220915010000.npz,0.0
6230.220917072000.npz,255.0
6230.220917074000.npz,135.0
6230.220915010000.npz,3.0
6230.220917120000.npz,189.0
6230.220917074000.npz,183.0
6230.220915010000.npz,30.0
6230.220917114000.npz,228.0
6230.220915014000.npz,27.0
6230.220917120000.npz,81.0
6230.220917074000.npz,246.0
6230.220917120000.npz,117.0
6230.220917120000.npz,120.0
6230.220917120000.npz,87.0
6230.220917074000.npz,132.0
6230.220915010000.npz,75.0
6230.220915010000.npz,216.0
6230.220917074000.npz,6.0
6230.220917144000.npz,159.0
