File,Start Time (s),type
6230.220915010000.npz,140.0,tonal
6230.220915010000.npz,160.0,tonal
6230.220914230000.npz,95.0,clicks
6230.220915010000.npz,30.0,clicks
6230.220915010000.npz,65.0,clicks
6230.220915010000.npz,70.0,tonal
6230.220915010000.npz,75.0,tonal
6230.220915010000.npz,85.0,clicks
6230.220915010000.npz,90.0,tonal
6230.220915010000.npz,115.0,tonal
6230.220915010000.npz,165.0,clicks
6230.220915010000.npz,185.0,clicks
6230.220915010000.npz,190.0,clicks
6230.220915010000.npz,195.0,clicks
6230.220915010000.npz,230.0,tonal
6230.220915010000.npz,250.0,clicks
6230.220917074000.npz,20.0,tonal
6230.220917074000.npz,30.0,tonal
6230.220917074000.npz,90.0,clicks
6230.220917074000.npz,120.0,clicks
6230.220917074000.npz,140.0,clicks
6230.220917074000.npz,155.0,tonal
6230.220917074000.npz,160.0,clicks
6230.220917074000.npz,175.0,clicks
6230.220917074000.npz,180.0,clicks
6230.220917074000.npz,210.0,clicks
6230.220917074000.npz,215.0,tonal
6230.220917074000.npz,250.0,clicks
6230.220917120000.npz,95.0,clicks
6230.220917120000.npz,170.0,clicks
6230.220917120000.npz,255.0,tonal
6230.220917144000.npz,30.0,clicks
6230.221003000000.npz,130.0,clicks
6230.221003000000.npz,210.0,tonal
6230.221003000000.npz,220.0,clicks
6230.220915010000.npz,20.0,clicks
6230.220915010000.npz,35.0,clicks
6230.220915010000.npz,40.0,clicks
6230.220915010000.npz,45.0,clicks
6230.220915010000.npz,50.0,clicks
6230.220915010000.npz,55.0,clicks
6230.220917072000.npz,215.0,clicks
6230.220917072000.npz,225.0,clicks
6230.220917074000.npz,40.0,clicks
6230.220917074000.npz,85.0,clicks
6230.220917074000.npz,125.0,clicks
6230.220917120000.npz,80.0,clicks
6230.221003000000.npz,0.0,clicks
6230.221003000000.npz,65.0,clicks
6230.220914224000.npz,40.0,clicks
6230.220914224000.npz,55.0,clicks
6230.220914224000.npz,60.0,clicks
6230.220914230000.npz,5.0,clicks
6230.220914230000.npz,15.0,clicks
6230.220914230000.npz,50.0,clicks
6230.220914230000.npz,55.0,clicks
6230.220914230000.npz,75.0,clicks
6230.220914230000.npz,145.0,clicks
6230.220914230000.npz,155.0,clicks
6230.220914230000.npz,190.0,clicks
6230.220914230000.npz,210.0,clicks
6230.220914230000.npz,220.0,clicks
6230.220915004000.npz,10.0,clicks
6230.220915004000.npz,65.0,clicks
6230.220915004000.npz,95.0,clicks
6230.220915010000.npz,0.0,clicks
6230.220915010000.npz,5.0,clicks
6230.220915010000.npz,10.0,clicks
6230.220915010000.npz,15.0,clicks
6230.220915010000.npz,80.0,clicks
6230.220915010000.npz,120.0,tonal
6230.220915010000.npz,130.0,clicks
6230.220917072000.npz,55.0,clicks
6230.220917072000.npz,205.0,clicks
6230.220917074000.npz,0.0,clicks
6230.220917074000.npz,10.0,tonal
6230.220917074000.npz,25.0,tonal
6230.220917074000.npz,45.0,clicks
6230.220917074000.npz,55.0,clicks
6230.220917074000.npz,80.0,clicks
6230.220917074000.npz,100.0,tonal
6230.220917074000.npz,185.0,tonal
6230.220917074000.npz,200.0,tonal
6230.220917074000.npz,245.0,tonal
6230.220917114000.npz,225.0,clicks
6230.220917120000.npz,5.0,clicks
6230.220917120000.npz,10.0,clicks
6230.220917120000.npz,15.0,clicks
6230.220917120000.npz,20.0,clicks
6230.220917120000.npz,25.0,tonal
6230.220917120000.npz,30.0,clicks
6230.220917120000.npz,40.0,clicks
6230.220917120000.npz,45.0,clicks
6230.220917120000.npz,55.0,clicks
6230.220917120000.npz,70.0,clicks
6230.220917120000.npz,75.0,clicks
6230.220917120000.npz,90.0,clicks
6230.220917120000.npz,110.0,clicks
6230.220917120000.npz,120.0,tonal
6230.220917120000.npz,125.0,clicks
6230.220917120000.npz,130.0,clicks
6230.220917120000.npz,140.0,clicks
6230.220917120000.npz,150.0,clicks
6230.220917120000.npz,175.0,clicks
6230.220917120000.npz,185.0,clicks
6230.220917120000.npz,200.0,clicks
6230.220917120000.npz,205.0,clicks
6230.220917120000.npz,210.0,clicks
6230.220917120000.npz,215.0,clicks
6230.220917120000.npz,220.0,clicks
6230.220917120000.npz,225.0,clicks
6230.220917120000.npz,230.0,tonal
6230.220917120000.npz,235.0,clicks
6230.220917120000.npz,250.0,clicks
6230.220917144000.npz,95.0,clicks
6230.220917144000.npz,115.0,clicks
6230.220917144000.npz,165.0,clicks
6230.220917144000.npz,170.0,clicks
6230.220917144000.npz,175.0,clicks
6230.220917144000.npz,180.0,clicks
6230.220917144000.npz,185.0,clicks
6230.220917144000.npz,195.0,clicks
6230.220917144000.npz,205.0,clicks
6230.220917144000.npz,220.0,clicks
6230.220917144000.npz,235.0,clicks
6230.220917144000.npz,240.0,clicks
6230.220917144000.npz,250.0,clicks
6230.220917144000.npz,255.0,clicks
6230.220917150000.npz,25.0,clicks
6230.220917150000.npz,50.0,clicks
6230.221002232000.npz,5.0,clicks
6230.221002234000.npz,165.0,clicks
6230.221002234000.npz,195.0,clicks
6230.221002234000.npz,240.0,clicks
6230.221002234000.npz,255.0,clicks
6230.221003000000.npz,5.0,clicks
6230.221003000000.npz,10.0,clicks
6230.221003000000.npz,15.0,clicks
6230.221003000000.npz,20.0,clicks
6230.221003000000.npz,25.0,clicks
6230.221003000000.npz,30.0,clicks
6230.221003000000.npz,35.0,clicks
6230.221003000000.npz,40.0,clicks
6230.221003000000.npz,45.0,clicks
6230.221003000000.npz,50.0,clicks
6230.221003000000.npz,55.0,clicks
6230.221003000000.npz,60.0,clicks
6230.221003000000.npz,70.0,clicks
6230.221003000000.npz,75.0,clicks
6230.221003000000.npz,80.0,clicks
6230.221003000000.npz,85.0,clicks
6230.221003000000.npz,115.0,clicks
6230.221003000000.npz,120.0,tonal
6230.221003000000.npz,160.0,clicks
6230.221003000000.npz,175.0,tonal
6230.221003000000.npz,190.0,tonal
6230.221003000000.npz,200.0,tonal
6230.221003000000.npz,205.0,tonal
6230.220914214000.npz,80.0,ice-noise
6230.220914214000.npz,220.0,ice-noise
6230.220914220000.npz,120.0,ice-noise
6230.220914222000.npz,70.0,ice-noise
6230.220914222000.npz,75.0,ice-noise
6230.220914224000.npz,140.0,ice-noise
6230.220914224000.npz,180.0,ice-noise
6230.220914232000.npz,95.0,ice-noise
6230.220914232000.npz,100.0,ice-noise
6230.220915000000.npz,0.0,ice-noise
6230.220915000000.npz,10.0,ice-noise
6230.220915000000.npz,120.0,ice-noise
6230.220915002000.npz,10.0,ice-noise
6230.220915002000.npz,135.0,ice-noise
6230.220915002000.npz,195.0,ice-noise
6230.220915004000.npz,75.0,ice-noise
6230.220915004000.npz,130.0,ice-noise
6230.220915004000.npz,230.0,ice-noise
6230.220915012000.npz,50.0,ice-noise
6230.220915014000.npz,10.0,ice-noise
6230.220915014000.npz,30.0,ice-noise
6230.220915014000.npz,135.0,ice-noise
6230.220915020000.npz,150.0,ice-noise
6230.220915022000.npz,100.0,ice-noise
6230.220915022000.npz,235.0,ice-noise
6230.220915032000.npz,15.0,ice-noise
6230.220915032000.npz,120.0,ice-noise
6230.220915032000.npz,125.0,ice-noise
6230.220915032000.npz,170.0,ice-noise
6230.220915032000.npz,180.0,ice-noise
6230.220915032000.npz,210.0,ice-noise
6230.220915040000.npz,45.0,ice-noise
6230.220915040000.npz,50.0,ice-noise
6230.220915040000.npz,140.0,ice-noise
6230.220915040000.npz,155.0,ice-noise
6230.220915040000.npz,235.0,ice-noise
6230.220915044000.npz,95.0,ice-noise
6230.220915044000.npz,115.0,ice-noise
6230.220915044000.npz,125.0,ice-noise
6230.220915050000.npz,205.0,ice-noise
6230.220915052000.npz,145.0,ice-noise
6230.220915052000.npz,160.0,ice-noise
6230.220915054000.npz,220.0,ice-noise
6230.220915060000.npz,10.0,ice-noise
6230.220915060000.npz,20.0,ice-noise
6230.220915060000.npz,25.0,ice-noise
6230.220915060000.npz,130.0,ice-noise
6230.220915062000.npz,145.0,ice-noise
6230.220915062000.npz,240.0,ice-noise
6230.220915062000.npz,245.0,ice-noise
6230.220915062000.npz,250.0,ice-noise
6230.220915064000.npz,0.0,ice-noise
6230.220915064000.npz,145.0,ice-noise
6230.220915064000.npz,150.0,ice-noise
6230.220915064000.npz,160.0,ice-noise
6230.220915064000.npz,165.0,ice-noise
6230.220915064000.npz,210.0,ice-noise
6230.220915070000.npz,60.0,ice-noise
6230.220915070000.npz,90.0,ice-noise
6230.220915070000.npz,125.0,ice-noise
6230.220915072000.npz,45.0,ice-noise
6230.220915072000.npz,50.0,ice-noise
6230.220915072000.npz,105.0,ice-noise
6230.220915072000.npz,165.0,ice-noise
6230.220915072000.npz,170.0,ice-noise
6230.220915074000.npz,215.0,ice-noise
6230.220915074000.npz,250.0,ice-noise
6230.220917080000.npz,40.0,ice-noise
6230.220917080000.npz,145.0,ice-noise
6230.220917080000.npz,190.0,ice-noise
6230.220917080000.npz,195.0,ice-noise
6230.220917084000.npz,130.0,ice-noise
6230.220917090000.npz,125.0,ice-noise
6230.220917090000.npz,255.0,ice-noise
6230.220917094000.npz,155.0,ice-noise
6230.220917100000.npz,25.0,ice-noise
6230.220917100000.npz,90.0,ice-noise
6230.220917100000.npz,160.0,ice-noise
6230.220917100000.npz,215.0,ice-noise
6230.220917100000.npz,250.0,ice-noise
6230.220917102000.npz,190.0,ice-noise
6230.220917112000.npz,70.0,ice-noise
6230.220917112000.npz,190.0,ice-noise
6230.220917122000.npz,15.0,ice-noise
6230.220917122000.npz,50.0,ice-noise
6230.220917122000.npz,55.0,ice-noise
6230.220917122000.npz,60.0,ice-noise
6230.220917122000.npz,160.0,ice-noise
6230.220917124000.npz,70.0,ice-noise
6230.220917124000.npz,80.0,ice-noise
6230.220917124000.npz,140.0,ice-noise
6230.220917124000.npz,170.0,ice-noise
6230.220917130000.npz,5.0,ice-noise
6230.220917130000.npz,10.0,ice-noise
6230.220917130000.npz,110.0,ice-noise
6230.220917130000.npz,175.0,ice-noise
6230.220917130000.npz,185.0,ice-noise
6230.220917132000.npz,165.0,ice-noise
6230.220917134000.npz,165.0,ice-noise
6230.220917134000.npz,170.0,ice-noise
6230.220917134000.npz,185.0,ice-noise
6230.220917134000.npz,190.0,ice-noise
6230.220917134000.npz,225.0,ice-noise
6230.220917134000.npz,255.0,ice-noise
6230.220917140000.npz,70.0,ice-noise
6230.220917140000.npz,75.0,ice-noise
6230.220917140000.npz,150.0,ice-noise
6230.220917140000.npz,205.0,ice-noise
6230.220917140000.npz,210.0,ice-noise
6230.220917140000.npz,215.0,ice-noise
6230.220917150000.npz,35.0,ice-noise
6230.220917150000.npz,55.0,ice-noise
6230.220917150000.npz,135.0,ice-noise
6230.220917150000.npz,145.0,ice-noise
6230.220917150000.npz,240.0,ice-noise
6230.220917150000.npz,255.0,ice-noise
6230.220917152000.npz,65.0,ice-noise
6230.220917152000.npz,120.0,ice-noise
6230.220917152000.npz,140.0,ice-noise
6230.220917152000.npz,210.0,ice-noise
6230.220917152000.npz,215.0,ice-noise
6230.220917154000.npz,5.0,ice-noise
6230.220917154000.npz,115.0,ice-noise
6230.220917154000.npz,175.0,ice-noise
6230.220917154000.npz,190.0,ice-noise
6230.220917154000.npz,220.0,ice-noise
6230.220917154000.npz,225.0,ice-noise
6230.220917160000.npz,50.0,ice-noise
6230.220917160000.npz,80.0,ice-noise
6230.220917160000.npz,85.0,ice-noise
6230.220917160000.npz,105.0,ice-noise
6230.220917160000.npz,115.0,ice-noise
6230.220917160000.npz,120.0,ice-noise
6230.220917160000.npz,200.0,ice-noise
6230.220917160000.npz,205.0,ice-noise
6230.220917160000.npz,235.0,ice-noise
6230.220917160000.npz,240.0,ice-noise
6230.220917160000.npz,245.0,ice-noise
6230.220917162000.npz,80.0,ice-noise
6230.220917162000.npz,95.0,ice-noise
6230.220917162000.npz,110.0,ice-noise
6230.220917162000.npz,135.0,ice-noise
6230.220917162000.npz,175.0,ice-noise
6230.220917162000.npz,220.0,ice-noise
6230.220917164000.npz,120.0,ice-noise
6230.220917164000.npz,200.0,ice-noise
6230.220917164000.npz,240.0,ice-noise
6230.220917170000.npz,125.0,ice-noise
6230.220917170000.npz,140.0,ice-noise
6230.220917170000.npz,195.0,ice-noise
6230.220917170000.npz,205.0,ice-noise
6230.220917170000.npz,240.0,ice-noise
6230.220917170000.npz,245.0,ice-noise
6230.220917170000.npz,255.0,ice-noise
6230.220917172000.npz,40.0,ice-noise
6230.220917172000.npz,85.0,ice-noise
6230.220917172000.npz,95.0,ice-noise
6230.220917172000.npz,135.0,ice-noise
6230.220917172000.npz,230.0,ice-noise
6230.220917174000.npz,15.0,ice-noise
6230.220917174000.npz,35.0,ice-noise
6230.220917174000.npz,40.0,ice-noise
6230.220917174000.npz,90.0,ice-noise
6230.220917174000.npz,110.0,ice-noise
6230.220917174000.npz,140.0,ice-noise
6230.220917174000.npz,155.0,ice-noise
6230.220917174000.npz,200.0,ice-noise
6230.220917174000.npz,220.0,ice-noise
6230.220917174000.npz,250.0,ice-noise
6230.220917180000.npz,30.0,ice-noise
6230.220917180000.npz,55.0,ice-noise
6230.220917180000.npz,145.0,ice-noise
6230.220917180000.npz,150.0,ice-noise
6230.220917180000.npz,155.0,ice-noise
6230.220917180000.npz,225.0,ice-noise
